,L0,L1,L2,L3,P1,P0,C1,S1,GA1,GB1,P2,C2,S2,GA2,GB2
L0,0.0,0.049541494453126944,0.011804239942474926,0.010309830345702764,0.010360626755068214,0.0,0.0011681107492820253,0.0,0.011204854329548652,0.012126917997885123,0.00995543676030497,0.004323106792445852,0.003247810625349068,0.0,0.01825841320257382
L1,0.061714915365843837,0.0,0.2529526821371926,0.18822908609097322,0.24182612052604835,0.0038569791161391365,0.011454808681726547,0.025910403160994022,0.31083440649978744,0.17064750661895633,0.11340273387518085,0.00815957706958148,0.03224185980994143,0.30704754057940864,0.17224961274855932
L2,0.012740985409191552,0.2542680521260756,0.0,0.062104953048106815,0.08942346363574938,0.0,0.0,0.008687907921254734,0.053784342470704516,0.033194928863273354,0.032809404070749615,0.007696509597856505,0.006881669778468158,0.03596870233409799,0.03760822962081889
L3,0.013188427826468008,0.18748872130780558,0.04818747061998252,0.0,0.051718748672890946,0.017141589251041367,0.007265059302213217,0.0,0.08394032279757813,0.0534505938199592,0.030300799881921137,0.01305302012216547,0.0,0.0780891019392822,0.03969368059738265
P1,0.00812941512907539,0.22762902154647868,0.089720480202927,0.048190265814406,0.0,0.6977121561527708,0.016394311958455532,0.01051684121475116,0.10655159955909976,0.09006157699782502,0.08434566535626598,0.0008195132420834028,0.011348332356637236,0.11245463354349372,0.06955634905457408
P0,0.005813725811462334,0.009510068584247744,0.0029918556170640542,0.0,0.6839676890945379,0.0,0.0,0.001511005312547109,0.01564521381701489,0.0,0.004239072274387912,0.0,0.0007367725817757353,0.0032488171131435095,0.008558231966492968
C1,0.004047170454782645,0.010206674824258855,0.0,0.006817442118626893,0.01642783857909169,0.0,0.0,0.056764009723159425,0.0,0.01867026022936713,0.011628793674828053,0.008155094101155669,0.0,0.005033979622447227,0.0
S1,0.00986393625265869,0.026200975690727546,0.00518030476225384,0.0,0.0077352257894318655,0.0010964714449288593,0.05700794131133469,0.0,0.0018888321014536302,0.02338906526195128,0.006297481609611744,0.0,0.03694975289181279,0.007272521458835612,0.018084609043516053
GA1,0.00451106474525087,0.3070631321508652,0.03706768298028429,0.08450229320950253,0.10906769860579413,0.0,0.0,0.0,0.0,0.1420441139518962,0.049714922239684434,0.003951056334007053,0.012545482919236406,0.22124765875699026,0.10928942241128947
GB1,0.0,0.17764752675356466,0.023862379569608017,0.051850211381307076,0.08864646871570248,0.008645954914034526,0.01729304774833551,0.01824602424350008,0.14940236567391896,0.0,0.06383284027226832,0.0038384512396567594,0.0,0.1087196758165545,0.09678399093288537
P2,0.01618113429735768,0.10020954881678179,0.022777668641489335,0.020405678146866002,0.08563265985954516,0.011264159341716429,0.013278263150703573,0.0,0.06889670912598689,0.05999694054893023,0.0,0.00403946057243143,0.0041655624953014225,0.06106582579705666,0.05198949734116809
C2,0.003557486177530933,0.006790664906598742,0.007758507305835494,0.012651496238655469,0.0,0.0,0.008012543647237358,0.0,0.005815699588858969,0.0030369041007984876,0.003755841219772016,0.0,0.04922935256934302,0.0,0.02665146661806883
S2,0.0,0.024341755936973186,0.006977394119918934,0.0,0.0156986458762427,0.0,0.00014751663681922267,0.04289936285349061,0.0,0.016407289856357643,0.0017089070422287023,0.048020311669731086,0.0,0.012939700341725313,0.02109797780241518
GA2,0.0,0.31878903437652006,0.04437987925918652,0.07469177214850298,0.12653265284245485,0.0012177457080735365,0.004690033558887308,0.008511464440200456,0.220456094110558,0.095342915157687,0.0718771060315424,0.0,0.0,0.0,0.14200718441578442
GB2,0.009014925625963954,0.17426784971351772,0.04297169218266639,0.045805849019892264,0.06277991280526996,0.003548872064834896,0.0,0.006634575782989316,0.0962099317287528,0.09390201620358507,0.05872489357354116,0.026526842847354182,0.012041063888867498,0.14647805055672425,0.0
