,L0,L1,L2,L3,P1,P0,C1,S1,GA1,GB1,P2,C2,S2,GA2,GB2
L0,0.0,0.045315541043070784,0.017285763825475975,0.0,0.0,0.0,0.0014936722715492845,0.0,0.014054261511562416,0.01154267922896679,0.002774025934797919,0.0035611272620090784,0.0,0.016346321888645043,0.0
L1,0.04713336268152535,0.0,0.15725380413166334,0.10382067964956931,0.21722103841841012,0.012438513134438445,0.008855310215669654,0.028453174945119564,0.2916055688830008,0.16910400737579856,0.10314926292859727,0.005301944513617762,0.02250872436782103,0.3081784139708237,0.161754735977512
L2,0.007602750622619503,0.14507118981954825,0.0,0.022275337504972903,0.050612578820451226,0.0014368527886361449,0.0024981538042530005,0.01776625179239577,0.024673055605179073,0.01907884688356276,0.020863871889629237,0.0,0.0,0.029808486962746628,0.022293703262185716
L3,0.0,0.09907961842190272,0.02651563364771814,0.0,0.051515340840226465,0.014183554113974317,0.008525244986708369,0.00031632438342654723,0.06564690391739703,0.04570288125731814,0.0232294753075859,0.008062033795220636,0.0,0.07217909693639957,0.04314479579837904
P1,0.00432214639483508,0.219371161590324,0.056086613578275823,0.05513936958921395,0.0,0.6951647290897114,0.016506708985873253,0.0057166392754179896,0.10441945225815186,0.0889044835110182,0.09252103648626342,0.0,0.0046131244478822,0.11562070324576368,0.06442481883989881
P0,0.010124364826658017,0.015675916998745265,0.0003240411435561086,0.006958388541939531,0.6828490759857551,0.0,0.0,0.0010332058731434834,0.0,0.00722530788149589,0.0,0.0,0.0005430230918728185,0.0,0.0
C1,0.0024753406796573785,0.005076318118139689,0.00301325156990373,0.009301903866706596,0.016167909702483385,0.0,0.0,0.05653593692657655,0.0,0.017206164326979412,0.011864459174335984,0.00804134236608256,0.0005534985276298698,0.003950692390286115,0.0
S1,0.0,0.025247317736548425,0.01293451450053773,0.007084816286546669,0.010366012522506463,0.006383484769592052,0.05681193057369871,0.0,0.0,0.015356038379804815,0.000556831617328335,0.0,0.05343074754401034,0.004761519845712492,0.0
GA1,0.015199404594061328,0.2862432820632783,0.02625453933473576,0.0495415347371031,0.11017306354624523,0.0008946543226198145,0.0,0.0045703345775995885,0.0,0.15500052628692185,0.05932242036763391,0.0038453352064280466,0.008192498935114756,0.22285550819678157,0.08938162152554874
GB1,0.006557604053932131,0.16960860934746336,0.02453975397371,0.024425734887301154,0.08744973935918665,0.005147676350946817,0.016191944954827786,0.011043969967293954,0.14565563699450834,0.0,0.04832083198364767,0.002516288296446678,0.01246541072353935,0.09765781770045212,0.11342099419504237
P2,0.006762716260085178,0.10199612854350448,0.014772564506160712,0.02148374080756188,0.09615185956117589,0.01361594711820846,0.01246454710128475,0.0,0.06674616805635036,0.06175779344958432,0.0,0.003910050322785352,0.005200097300383177,0.06869757615494443,0.059554833563566945
C2,0.0022187289025321633,0.007333714883674958,0.0,0.007330892074974393,0.002967326758205324,0.0,0.008045992969028859,0.0,0.002885298288923366,0.002800950164642657,0.004448303407151855,0.0,0.04911516615104006,0.0,0.027256671592387427
S2,0.0,0.01199595736577308,0.003544692024648022,0.009890083931870741,0.0047525607273533055,0.0,0.0,0.03757829102326227,0.0023619207558702726,0.0,0.009525423077703543,0.04923472290197051,0.0,0.0,0.009252834720705039
GA2,0.0018280912252235382,0.3133835474226947,0.02372135348138027,0.07166981294420793,0.11622023250885904,0.0,0.005525459397027088,0.007784402729707374,0.22418774947972775,0.10906281141766527,0.05866322926013012,0.0,0.014314199004783923,0.0,0.13889998594536124
GB2,0.006495944127942188,0.16303240313411305,0.01357691959926477,0.03939951529509855,0.07603557300363706,0.012803505841143092,0.0,0.00011309219962019057,0.09532089374403441,0.09974844856488474,0.06407042862799539,0.025340944874837845,0.014073742009734325,0.1517864872511261,0.0
