,L0,L1,L2,L3,P1,P0,C1,S1,GA1,GB1,P2,C2,S2,GA2,GB2
L0,1.0000000000001248,0.17730894897910518,0.05405422906998734,0.08230079455175081,0.03924894775075637,0.018420576668989903,0.012919139407862962,0.01405610522738886,0.03777448327935598,0.049761484469146265,0.08016860040057484,0.03029310924272699,0.012623077379045571,0.04463640149661924,0.06627383306028854
L1,0.17730894897910518,0.9999999999999648,0.04028826429987,0.07470586354786875,0.15904942109656342,0.03636078263591624,0.017479180896585126,0.05355012750501587,0.08313140556103535,0.03705891349990996,0.07742129775489857,0.020739151210895878,0.02878703258972296,0.08444275112754936,0.043772924255508966
L2,0.05405422906998734,0.04028826429987,0.9999999999999362,0.06635057358242906,0.05834645916484924,0.04860222695237904,0.0183270534170708,0.026847588967702524,0.044037192393514314,0.02960715823920975,0.05186777762456453,0.01186400244503577,0.019675311922300334,0.03486033061695404,0.019316295848151598
L3,0.08230079455175081,0.07470586354786875,0.06635057358242906,1.0000000000000115,0.1133820020735543,0.021129367064188487,0.011785168658995674,0.026902527441815934,0.06637754364638822,0.03324903371693121,0.08229867999294228,0.025114459434859234,0.020072563006296215,0.05913858304076633,0.029322148654638346
P1,0.03924894775075637,0.15904942109656342,0.05834645916484924,0.1133820020735543,0.9999999999999893,0.14192146757724067,0.039600319731198215,0.05208978150933311,0.09302816632228501,0.06792935592985237,0.12792710804662405,0.027926744720587617,0.035601163121253034,0.10071344274222821,0.0641930761633944
P0,0.018420576668989903,0.03636078263591624,0.04860222695237904,0.021129367064188487,0.14192146757724067,1.0000000000000608,0.01572124318583731,0.019783398555708456,0.012668083646499339,0.010030462751307073,0.06176260309306998,0.014267993133860343,0.015866166390738,0.017875864499780087,0.01223419087002319
C1,0.012919139407862962,0.017479180896585126,0.0183270534170708,0.011785168658995674,0.039600319731198215,0.01572124318583731,0.9999999999999993,0.03337760250727767,0.012606667771556876,0.0139370364252609,0.0203177996145742,0.016807304406801147,0.015889620743531348,0.016843189785933806,0.014414568182728784
S1,0.01405610522738886,0.05355012750501587,0.026847588967702524,0.026902527441815934,0.05208978150933311,0.019783398555708456,0.03337760250727767,1.0000000000000056,0.022891259989964306,0.020912150468707664,0.030936360041395553,0.020214827876995682,0.17848092263581486,0.029171085643070076,0.018292427098312112
GA1,0.03777448327935598,0.08313140556103535,0.044037192393514314,0.06637754364638822,0.09302816632228501,0.012668083646499339,0.012606667771556876,0.022891259989964306,0.9999999999997836,0.08619172277590081,0.0595944152650645,0.02584482013582132,0.021788427864588376,0.06271934700712026,0.028097963205332723
GB1,0.049761484469146265,0.03705891349990996,0.02960715823920975,0.03324903371693121,0.06792935592985237,0.010030462751307073,0.0139370364252609,0.020912150468707664,0.08619172277590081,1.000000000000031,0.06241802522466966,0.016094601400089663,0.026114481263215316,0.04033133355973144,0.05999220394550176
P2,0.08016860040057484,0.07742129775489857,0.05186777762456453,0.08229867999294228,0.12792710804662405,0.06176260309306998,0.0203177996145742,0.030936360041395553,0.0595944152650645,0.06241802522466966,0.9999999999999775,0.016768570578018335,0.04159660974019611,0.0658335292005242,0.06483159595041338
C2,0.03029310924272699,0.020739151210895878,0.01186400244503577,0.025114459434859234,0.027926744720587617,0.014267993133860343,0.016807304406801147,0.020214827876995682,0.02584482013582132,0.016094601400089663,0.016768570578018335,1.000000000000002,0.03588718723576677,0.013956657749212868,0.012320139429213907
S2,0.012623077379045571,0.02878703258972296,0.019675311922300334,0.020072563006296215,0.035601163121253034,0.015866166390738,0.015889620743531348,0.17848092263581486,0.021788427864588376,0.026114481263215316,0.04159660974019611,0.03588718723576677,1.0000000000001616,0.023758838629923472,0.019178821906944428
GA2,0.04463640149661924,0.08444275112754936,0.03486033061695404,0.05913858304076633,0.10071344274222821,0.017875864499780087,0.016843189785933806,0.029171085643070076,0.06271934700712026,0.04033133355973144,0.0658335292005242,0.013956657749212868,0.023758838629923472,0.999999999999991,0.08196613877874304
GB2,0.06627383306028854,0.043772924255508966,0.019316295848151598,0.029322148654638346,0.0641930761633944,0.01223419087002319,0.014414568182728784,0.018292427098312112,0.028097963205332723,0.05999220394550176,0.06483159595041338,0.012320139429213907,0.019178821906944428,0.08196613877874304,0.9999999999999309
