,L0,L1,L2,L3,P1,P0,C1,S1,GA1,GB1,P2,C2,S2,GA2,GB2
L0,1.0000000000001248,0.10490670579862897,0.05471862526931179,0.08050091445575858,0.03924894775075637,0.018420576668989903,0.012919139407862962,0.01405610522738886,0.03777448327935598,0.049761484469146265,0.08016860040057484,0.03029310924272699,0.012623077379045571,0.04463640149661924,0.06627383306028854
L1,0.10490670579862897,0.9999999999999477,0.03485801520930517,0.052054282845687604,0.12025326661367396,0.017817015895824687,0.02196581022512792,0.048979606272444826,0.0544816066628252,0.03676470166042542,0.049418479837365116,0.015263360081456715,0.04349175721400012,0.06017864504223915,0.02771676678151566
L2,0.05471862526931179,0.03485801520930517,0.9999999999999664,0.07040003540958406,0.051895121631955345,0.03700912583125786,0.015562969887031184,0.028450016570163862,0.03772882381264611,0.02155362085875656,0.05467361612421943,0.01237792811986814,0.01656361820326876,0.03421330883026578,0.020543415671716764
L3,0.08050091445575858,0.052054282845687604,0.07040003540958406,1.0000000000000158,0.11748956642957133,0.02466350619562958,0.013366027685634482,0.025644927693382624,0.06122175920100824,0.030969347710586077,0.07959027850748315,0.021820401602616536,0.016521517344130553,0.05667977859299535,0.027900191762106428
P1,0.03924894775075637,0.12025326661367396,0.051895121631955345,0.11748956642957133,0.9999999999999893,0.14192146757724067,0.039600319731198215,0.05208978150933311,0.09302816632228501,0.06792935592985237,0.12792710804662405,0.027926744720587617,0.035601163121253034,0.10071344274222821,0.0641930761633944
P0,0.018420576668989903,0.017817015895824687,0.03700912583125786,0.02466350619562958,0.14192146757724067,1.0000000000000608,0.01572124318583731,0.019783398555708456,0.012668083646499339,0.010030462751307073,0.06176260309306998,0.014267993133860343,0.015866166390738,0.017875864499780087,0.01223419087002319
C1,0.012919139407862962,0.02196581022512792,0.015562969887031184,0.013366027685634482,0.039600319731198215,0.01572124318583731,0.9999999999999993,0.03337760250727767,0.012606667771556876,0.0139370364252609,0.0203177996145742,0.016807304406801147,0.015889620743531348,0.016843189785933806,0.014414568182728784
S1,0.01405610522738886,0.048979606272444826,0.028450016570163862,0.025644927693382624,0.05208978150933311,0.019783398555708456,0.03337760250727767,1.0000000000000056,0.022891259989964306,0.020912150468707664,0.030936360041395553,0.020214827876995682,0.17848092263581486,0.029171085643070076,0.018292427098312112
GA1,0.03777448327935598,0.0544816066628252,0.03772882381264611,0.06122175920100824,0.09302816632228501,0.012668083646499339,0.012606667771556876,0.022891259989964306,0.9999999999997836,0.08619172277590081,0.0595944152650645,0.02584482013582132,0.021788427864588376,0.06271934700712026,0.028097963205332723
GB1,0.049761484469146265,0.03676470166042542,0.02155362085875656,0.030969347710586077,0.06792935592985237,0.010030462751307073,0.0139370364252609,0.020912150468707664,0.08619172277590081,1.000000000000031,0.06241802522466966,0.016094601400089663,0.026114481263215316,0.04033133355973144,0.05999220394550176
P2,0.08016860040057484,0.049418479837365116,0.05467361612421943,0.07959027850748315,0.12792710804662405,0.06176260309306998,0.0203177996145742,0.030936360041395553,0.0595944152650645,0.06241802522466966,0.9999999999999775,0.016768570578018335,0.04159660974019611,0.0658335292005242,0.06483159595041338
C2,0.03029310924272699,0.015263360081456715,0.01237792811986814,0.021820401602616536,0.027926744720587617,0.014267993133860343,0.016807304406801147,0.020214827876995682,0.02584482013582132,0.016094601400089663,0.016768570578018335,1.000000000000002,0.03588718723576677,0.013956657749212868,0.012320139429213907
S2,0.012623077379045571,0.04349175721400012,0.01656361820326876,0.016521517344130553,0.035601163121253034,0.015866166390738,0.015889620743531348,0.17848092263581486,0.021788427864588376,0.026114481263215316,0.04159660974019611,0.03588718723576677,1.0000000000001616,0.023758838629923472,0.019178821906944428
GA2,0.04463640149661924,0.06017864504223915,0.03421330883026578,0.05667977859299535,0.10071344274222821,0.017875864499780087,0.016843189785933806,0.029171085643070076,0.06271934700712026,0.04033133355973144,0.0658335292005242,0.013956657749212868,0.023758838629923472,0.999999999999991,0.08196613877874304
GB2,0.06627383306028854,0.02771676678151566,0.020543415671716764,0.027900191762106428,0.0641930761633944,0.01223419087002319,0.014414568182728784,0.018292427098312112,0.028097963205332723,0.05999220394550176,0.06483159595041338,0.012320139429213907,0.019178821906944428,0.08196613877874304,0.9999999999999309
